id,conversation_id,query_text,created_at
1,5,best ramen in Tokyo 2025 list,2025-07-08T19:43:15.771302+00:00
2,5,Michelin star ramen Tokyo 2024 Nakiryu Hototogisu Konjiki Tsuta update,2025-07-08T19:43:15.771388+00:00
3,5,new ramen shop Tokyo 2024 award winning,2025-07-08T19:43:15.771470+00:00
4,6,best ramen in Tokyo 2025 list,2025-07-08T19:46:14.387485+00:00
5,6,Michelin star ramen Tokyo 2024 Nakiryu Hototogisu Konjiki Tsuta update,2025-07-08T19:46:14.387555+00:00
6,6,new ramen shop Tokyo 2024 award winning,2025-07-08T19:46:14.387620+00:00
7,7,best ramen in Tokyo 2025 list,2025-07-09T06:01:23.166060+00:00
8,7,Michelin star ramen Tokyo 2024 Nakiryu Hototogisu Konjiki Tsuta update,2025-07-09T06:01:23.166145+00:00
9,7,new ramen shop Tokyo 2024 award winning,2025-07-09T06:01:23.166224+00:00
10,8,best ramen in Tokyo 2025 list,2025-07-09T06:02:49.907296+00:00
11,8,Michelin star ramen Tokyo 2024 Nakiryu Hototogisu Konjiki Tsuta update,2025-07-09T06:02:49.907457+00:00
12,8,new ramen shop Tokyo 2024 award winning,2025-07-09T06:02:49.907571+00:00
